0,12656,23645,36301
1,7144,14733,21877
2,3679,7842,11521
3,2305,4159,6464
4,3745,3438,7183
5,18302,5496,23798
6,59197,13207,72404
7,99943,23661,123604
8,108092,32693,140785
9,90665,41789,132454
10,95594,60333,155927
11,119169,83513,202682
12,140760,102388,243148
13,139621,111509,251130
14,139825,117972,257797
15,155960,124557,280517
16,187856,132564,320420
17,227149,148776,375925
18,197734,134120,331854
19,136824,101926,238750
20,82888,70519,153407
21,49895,51397,101292
22,35195,45692,80887
23,23882,36585,60467
